design,domain,tool,flow,datatype,bram,dsp,ff,lut,bram_avail,dsp_avail,ff_avail,lut_avail,bram_util,dsp_util,ff_util,lut_util,cycles,latency_ns,ii,target_clock_ns,achieved_clock_ns,fmax_mhz,power_w,power_dyn_w,power_static_w,timing_met,throughput,notes
config_CIN16_HIN28_WIN28_COUT16_K1_UFCIN1_UFCOU1_PAD1_STRIDE1_BIASFalse_conv2d_ACTIVATIONrelu_ap_fixed_16_5_,conv,vitis,csynth,,52,2,5008,8786,1824,2520,548160,274080,2.8509,0.0794,0.9136,3.2056,295438,2156697.4,,7.3,,,,,,,,
config_CIN16_HIN28_WIN28_COUT16_K1_UFCIN1_UFCOU1_PAD1_STRIDE1_BIASFalse_conv2d_ACTIVATIONsigmoid_ap_fixed_16_5_,conv,vitis,csynth,,52,5,6711,10238,1824,2520,548160,274080,2.8509,0.1984,1.2243,3.7354,295467,2156909.1,,7.3,,,,,,,,
config_CIN16_HIN28_WIN28_COUT16_K1_UFCIN1_UFCOU1_PAD1_STRIDE1_BIASFalse_group_conv2d_GROUPS2_ACTIVATIONrelu_ap_fixed_16_5_,conv,vitis,csynth,,52,6,5400,9442,1824,2520,548160,274080,2.8509,0.2381,0.9851,3.445,991204,7235789.2,,7.3,,,,,,,,
config_CIN16_HIN28_WIN28_COUT16_K1_UFCIN1_UFCOU1_PAD1_STRIDE1_BIASFalse_group_conv2d_GROUPS2_ACTIVATIONsigmoid_ap_fixed_16_5_,conv,vitis,csynth,,52,9,7103,10895,1824,2520,548160,274080,2.8509,0.3571,1.2958,3.9751,991233,7236000.899999999,,7.3,,,,,,,,
config_CIN16_HIN28_WIN28_COUT16_K1_UFCIN1_UFCOU1_PAD1_STRIDE1_BIASFalse_group_conv2d_GROUPS4_ACTIVATIONrelu_ap_fixed_16_5_,conv,vitis,csynth,,52,6,5402,9445,1824,2520,548160,274080,2.8509,0.2381,0.9855,3.4461,1923730,14043229.0,,7.3,,,,,,,,
config_CIN16_HIN28_WIN28_COUT16_K1_UFCIN1_UFCOU1_PAD1_STRIDE1_BIASFalse_group_conv2d_GROUPS4_ACTIVATIONsigmoid_ap_fixed_16_5_,conv,vitis,csynth,,52,9,7105,10898,1824,2520,548160,274080,2.8509,0.3571,1.2962,3.9762,1923759,14043440.7,,7.3,,,,,,,,
config_CIN16_HIN28_WIN28_COUT16_K1_UFCIN1_UFCOU1_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_16_5_,conv,vitis,csynth,,52,2,5141,8996,1824,2520,548160,274080,2.8509,0.0794,0.9379,3.2823,307947,2248013.1,,7.3,,,,,,,,
config_CIN16_HIN28_WIN28_COUT16_K1_UFCIN1_UFCOU1_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONsigmoid_ap_fixed_16_5_,conv,vitis,csynth,,52,5,6844,10449,1824,2520,548160,274080,2.8509,0.1984,1.2485,3.8124,307976,2248224.8,,7.3,,,,,,,,
config_CIN16_HIN28_WIN28_COUT16_K1_UFCIN1_UFCOU1_PAD1_STRIDE1_BIASTrue_group_conv2d_GROUPS2_ACTIVATIONrelu_ap_fixed_16_5_,conv,vitis,csynth,,52,6,5533,9653,1824,2520,548160,274080,2.8509,0.2381,1.0094,3.522,1003713,7327104.899999999,,7.3,,,,,,,,
config_CIN16_HIN28_WIN28_COUT16_K1_UFCIN1_UFCOU1_PAD1_STRIDE1_BIASTrue_group_conv2d_GROUPS2_ACTIVATIONsigmoid_ap_fixed_16_5_,conv,vitis,csynth,,52,9,7236,11106,1824,2520,548160,274080,2.8509,0.3571,1.3201,4.0521,1003742,7327316.6,,7.3,,,,,,,,
config_CIN16_HIN28_WIN28_COUT16_K1_UFCIN1_UFCOU1_PAD1_STRIDE1_BIASTrue_group_conv2d_GROUPS4_ACTIVATIONrelu_ap_fixed_16_5_,conv,vitis,csynth,,52,6,5535,9656,1824,2520,548160,274080,2.8509,0.2381,1.0097,3.5231,1936239,14134544.7,,7.3,,,,,,,,
config_CIN16_HIN28_WIN28_COUT16_K1_UFCIN1_UFCOU1_PAD1_STRIDE1_BIASTrue_group_conv2d_GROUPS4_ACTIVATIONsigmoid_ap_fixed_16_5_,conv,vitis,csynth,,52,9,7238,11109,1824,2520,548160,274080,2.8509,0.3571,1.3204,4.0532,1936268,14134756.4,,7.3,,,,,,,,
