design,domain,tool,flow,datatype,bram,dsp,ff,lut,bram_avail,dsp_avail,ff_avail,lut_avail,bram_util,dsp_util,ff_util,lut_util,cycles,latency_ns,ii,target_clock_ns,achieved_clock_ns,fmax_mhz,power_w,power_dyn_w,power_static_w,timing_met,throughput,notes
GEMM_config_M128_K128_N128_UM1_UK1_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_2_ap_fixed_16_5_,gemm,vitis,csynth,,52,3,2669,4326,1824,2520,548160,274080,2.8509,0.119,0.4869,1.5784,2162881,15789031.299999999,,7.3,,,,,,,,
GEMM_config_M128_K128_N128_UM1_UK1_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_3_ap_fixed_16_5_,gemm,vitis,csynth,,53,3,2997,4642,1824,2520,548160,274080,2.9057,0.119,0.5467,1.6937,2162889,15789089.7,,7.3,,,,,,,,
GEMM_config_M128_K128_N128_UM1_UK1_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_4_ap_fixed_16_5_,gemm,vitis,csynth,,38,3,2748,4241,1824,2520,548160,274080,2.0833,0.119,0.5013,1.5474,65999,481792.7,,7.3,,,,,,,,
GEMM_config_M128_K128_N128_UM1_UK1_UN1_ijk_BIAS_True_INLINE_True_COMPORDER_option_2_ap_fixed_16_5_,gemm,vitis,csynth,,52,3,2770,4382,1824,2520,548160,274080,2.8509,0.119,0.5053,1.5988,2162886,15789067.799999999,,7.3,,,,,,,,
GEMM_config_M128_K128_N128_UM1_UK1_UN1_ijk_BIAS_True_INLINE_True_COMPORDER_option_3_ap_fixed_16_5_,gemm,vitis,csynth,,53,3,3100,4700,1824,2520,548160,274080,2.9057,0.119,0.5655,1.7148,2162896,15789140.799999999,,7.3,,,,,,,,
GEMM_config_M128_K128_N128_UM1_UK1_UN1_ijk_BIAS_True_INLINE_True_COMPORDER_option_4_ap_fixed_16_5_,gemm,vitis,csynth,,38,3,2849,4292,1824,2520,548160,274080,2.0833,0.119,0.5197,1.566,66004,481829.2,,7.3,,,,,,,,
GEMM_config_M128_K128_N128_UM1_UK1_UN1_ikj_BIAS_False_INLINE_True_COMPORDER_option_2_ap_fixed_16_5_,gemm,vitis,csynth,,52,3,2880,4476,1824,2520,548160,274080,2.8509,0.119,0.5254,1.6331,2162881,15789031.299999999,,7.3,,,,,,,,
GEMM_config_M128_K128_N128_UM1_UK1_UN1_ikj_BIAS_False_INLINE_True_COMPORDER_option_3_ap_fixed_16_5_,gemm,vitis,csynth,,53,3,3208,4792,1824,2520,548160,274080,2.9057,0.119,0.5852,1.7484,2162889,15789089.7,,7.3,,,,,,,,
GEMM_config_M128_K128_N128_UM1_UK1_UN1_ikj_BIAS_False_INLINE_True_COMPORDER_option_4_ap_fixed_16_5_,gemm,vitis,csynth,,38,3,2748,4241,1824,2520,548160,274080,2.0833,0.119,0.5013,1.5474,65999,481792.7,,7.3,,,,,,,,
GEMM_config_M128_K128_N128_UM1_UK1_UN1_ikj_BIAS_True_INLINE_True_COMPORDER_option_2_ap_fixed_16_5_,gemm,vitis,csynth,,52,3,2981,4532,1824,2520,548160,274080,2.8509,0.119,0.5438,1.6535,2162886,15789067.799999999,,7.3,,,,,,,,
