design,domain,tool,flow,datatype,bram,dsp,ff,lut,bram_avail,dsp_avail,ff_avail,lut_avail,bram_util,dsp_util,ff_util,lut_util,cycles,latency_ns,ii,target_clock_ns,achieved_clock_ns,fmax_mhz,power_w,power_dyn_w,power_static_w,timing_met,throughput,notes
ATTN_config_16_128_16_16_1_layer_norm_False_DROPTrue_0.1_ap_fixed_16_5_,llm,vitis,csynth,,55,69,41759,43430,1824,2520,548160,274080,3.0154,2.7381,7.618,15.8457,604295,4411353.5,,7.3,,,,,,,,
ATTN_config_16_128_16_16_1_layer_norm_False_DROPTrue_0.3_ap_fixed_16_5_,llm,vitis,csynth,,55,69,41759,43430,1824,2520,548160,274080,3.0154,2.7381,7.618,15.8457,604295,4411353.5,,7.3,,,,,,,,
ATTN_config_16_128_16_16_1_layer_norm_False_DROPTrue_0.5_ap_fixed_16_5_,llm,vitis,csynth,,55,67,41731,43290,1824,2520,548160,274080,3.0154,2.6587,7.6129,15.7947,604555,4413251.5,,7.3,,,,,,,,
ATTN_config_16_128_16_16_1_layer_norm_ROPE_False_DROP_False_ap_fixed_16_5_,llm,vitis,csynth,,51,67,41686,43053,1824,2520,548160,274080,2.7961,2.6587,7.6047,15.7082,600455,4383321.5,,7.3,,,,,,,,
ATTN_config_16_128_16_16_1_layer_norm_ROPE_True_DROP_False_ap_fixed_16_5_,llm,vitis,csynth,,96,89,43966,48379,1824,2520,548160,274080,5.2632,3.5317,8.0207,17.6514,641420,4682366.0,,7.3,,,,,,,,
ATTN_config_16_128_16_16_1_layer_norm_True_DROPTrue_0.1_ap_fixed_16_5_,llm,vitis,csynth,,100,91,44039,48756,1824,2520,548160,274080,5.4825,3.6111,8.034,17.789,645260,4710398.0,,7.3,,,,,,,,
ATTN_config_16_128_16_16_1_layer_norm_True_DROPTrue_0.3_ap_fixed_16_5_,llm,vitis,csynth,,100,91,44039,48756,1824,2520,548160,274080,5.4825,3.6111,8.034,17.789,645260,4710398.0,,7.3,,,,,,,,
ATTN_config_16_128_16_16_1_layer_norm_True_DROPTrue_0.5_ap_fixed_16_5_,llm,vitis,csynth,,100,89,44011,48617,1824,2520,548160,274080,5.4825,3.5317,8.0289,17.7383,645520,4712296.0,,7.3,,,,,,,,
ATTN_config_16_128_16_16_1_rms_norm_False_DROPTrue_0.1_ap_fixed_16_5_,llm,vitis,csynth,,53,74,38562,38905,1824,2520,548160,274080,2.9057,2.9365,7.0348,14.1948,595275,4345507.5,,7.3,,,,,,,,
ATTN_config_16_128_16_16_1_rms_norm_False_DROPTrue_0.3_ap_fixed_16_5_,llm,vitis,csynth,,53,74,38562,38905,1824,2520,548160,274080,2.9057,2.9365,7.0348,14.1948,595275,4345507.5,,7.3,,,,,,,,
ATTN_config_16_128_16_16_1_rms_norm_False_DROPTrue_0.5_ap_fixed_16_5_,llm,vitis,csynth,,53,72,38534,38763,1824,2520,548160,274080,2.9057,2.8571,7.0297,14.143,595535,4347405.5,,7.3,,,,,,,,
ATTN_config_16_128_16_16_1_rms_norm_ROPE_False_DROP_False_ap_fixed_16_5_,llm,vitis,csynth,,49,72,38489,38526,1824,2520,548160,274080,2.6864,2.8571,7.0215,14.0565,591435,4317475.5,,7.3,,,,,,,,
ATTN_config_16_128_16_16_1_rms_norm_ROPE_True_DROP_False_ap_fixed_16_5_,llm,vitis,csynth,,94,94,40769,43852,1824,2520,548160,274080,5.1535,3.7302,7.4374,15.9997,632400,4616520.0,,7.3,,,,,,,,
ATTN_config_16_128_16_16_1_rms_norm_True_DROPTrue_0.1_ap_fixed_16_5_,llm,vitis,csynth,,98,96,40842,44231,1824,2520,548160,274080,5.3728,3.8095,7.4507,16.138,636240,4644552.0,,7.3,,,,,,,,
ATTN_config_16_128_16_16_1_rms_norm_True_DROPTrue_0.3_ap_fixed_16_5_,llm,vitis,csynth,,98,96,40842,44231,1824,2520,548160,274080,5.3728,3.8095,7.4507,16.138,636240,4644552.0,,7.3,,,,,,,,
ATTN_config_16_128_16_16_1_rms_norm_True_DROPTrue_0.5_ap_fixed_16_5_,llm,vitis,csynth,,98,94,40814,44089,1824,2520,548160,274080,5.3728,3.7302,7.4456,16.0862,636500,4646450.0,,7.3,,,,,,,,
ATTN_config_16_128_16_16_2_layer_norm_False_DROPTrue_0.1_ap_fixed_16_5_,llm,vitis,csynth,,55,69,41767,43462,1824,2520,548160,274080,3.0154,2.7381,7.6195,15.8574,604299,4411382.7,,7.3,,,,,,,,
ATTN_config_16_128_16_16_2_layer_norm_False_DROPTrue_0.3_ap_fixed_16_5_,llm,vitis,csynth,,55,69,41767,43462,1824,2520,548160,274080,3.0154,2.7381,7.6195,15.8574,604299,4411382.7,,7.3,,,,,,,,
ATTN_config_16_128_16_16_2_layer_norm_False_DROPTrue_0.5_ap_fixed_16_5_,llm,vitis,csynth,,55,67,41739,43322,1824,2520,548160,274080,3.0154,2.6587,7.6144,15.8063,604559,4413280.7,,7.3,,,,,,,,
ATTN_config_16_128_16_16_2_layer_norm_ROPE_False_DROP_False_ap_fixed_16_5_,llm,vitis,csynth,,51,67,41694,43085,1824,2520,548160,274080,2.7961,2.6587,7.6062,15.7199,600459,4383350.7,,7.3,,,,,,,,
ATTN_config_16_128_16_16_2_layer_norm_ROPE_True_DROP_False_ap_fixed_16_5_,llm,vitis,csynth,,96,89,43974,48412,1824,2520,548160,274080,5.2632,3.5317,8.0221,17.6635,641424,4682395.2,,7.3,,,,,,,,
ATTN_config_16_128_16_16_2_layer_norm_True_DROPTrue_0.1_ap_fixed_16_5_,llm,vitis,csynth,,100,91,44047,48789,1824,2520,548160,274080,5.4825,3.6111,8.0354,17.801,645264,4710427.2,,7.3,,,,,,,,
ATTN_config_16_128_16_16_2_layer_norm_True_DROPTrue_0.3_ap_fixed_16_5_,llm,vitis,csynth,,100,91,44047,48789,1824,2520,548160,274080,5.4825,3.6111,8.0354,17.801,645264,4710427.2,,7.3,,,,,,,,
ATTN_config_16_128_16_16_2_layer_norm_True_DROPTrue_0.5_ap_fixed_16_5_,llm,vitis,csynth,,100,89,44019,48650,1824,2520,548160,274080,5.4825,3.5317,8.0303,17.7503,645524,4712325.2,,7.3,,,,,,,,
ATTN_config_16_128_16_16_2_rms_norm_False_DROPTrue_0.1_ap_fixed_16_5_,llm,vitis,csynth,,53,74,38570,38937,1824,2520,548160,274080,2.9057,2.9365,7.0363,14.2064,595279,4345536.7,,7.3,,,,,,,,
ATTN_config_16_128_16_16_2_rms_norm_False_DROPTrue_0.3_ap_fixed_16_5_,llm,vitis,csynth,,53,74,38570,38937,1824,2520,548160,274080,2.9057,2.9365,7.0363,14.2064,595279,4345536.7,,7.3,,,,,,,,
