design,domain,tool,flow,datatype,bram,dsp,ff,lut,bram_avail,dsp_avail,ff_avail,lut_avail,bram_util,dsp_util,ff_util,lut_util,cycles,latency_ns,ii,target_clock_ns,achieved_clock_ns,fmax_mhz,power_w,power_dyn_w,power_static_w,timing_met,throughput,notes
config_CIN16_HIN28_WIN28_COUT16_K1_UFCIN1_UFCOU1_PAD1_STRIDE1_BIASFalse_conv2d_ACTIVATIONrelu_ap_fixed_16_5_,conv,vitis,impl,"ap_fixed<16,5>",48,2,4549,4043,1824,2520,548160,274080,2.6316,0.0794,0.8299,1.4751,295438,2954380.0,295439,10.0,6.54,152.905,0.691,0.07,0.621,True,338.4804933691671,
config_CIN16_HIN28_WIN28_COUT16_K1_UFCIN1_UFCOU1_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONtanh_ap_fixed_16_5_,conv,vitis,impl,"ap_fixed<16,5>",48,4,7267,7369,1824,2520,548160,274080,2.6316,0.1587,1.3257,2.6886,307994,3079940.0,307995,10.0,6.445,155.159,0.762,0.141,0.621,True,324.6816496425255,
config_CIN16_HIN28_WIN28_COUT16_K1_UFCIN1_UFCOU1_PAD1_STRIDE1_BIASTrue_group_conv2d_GROUPS4_ACTIVATIONrelu_ap_fixed_16_5_,conv,vitis,impl,"ap_fixed<16,5>",48,6,4896,4348,1824,2520,548160,274080,2.6316,0.2381,0.8932,1.5864,1936239,19362390.0,1936240,10.0,6.785,147.384,0.697,0.076,0.621,True,51.646516778145674,
config_CIN16_HIN28_WIN28_COUT16_K1_UFCIN1_UFCOU4_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONsigmoid_ap_fixed_16_5_,conv,vitis,impl,"ap_fixed<16,5>",48,8,5744,5300,1824,2520,548160,274080,2.6316,0.3175,1.0479,1.9337,124377,1243770.0,124378,10.0,6.334,157.878,0.71,0.089,0.621,True,804.007171743972,
config_CIN16_HIN28_WIN28_COUT16_K1_UFCIN1_UFCOU8_PAD1_STRIDE1_BIASFalse_group_conv2d_GROUPS4_ACTIVATIONrelu_ap_fixed_16_5_,conv,vitis,impl,"ap_fixed<16,5>",48,5,4915,4485,1824,2520,548160,274080,2.6316,0.1984,0.8966,1.6364,148807,1488070.0,148808,10.0,6.265,159.617,0.693,0.072,0.621,True,672.0113973132984,
config_CIN16_HIN28_WIN28_COUT16_K1_UFCIN1_UFCOU8_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONsigmoid_ap_fixed_16_5_,conv,vitis,impl,"ap_fixed<16,5>",48,12,5811,5422,1824,2520,548160,274080,2.6316,0.4762,1.0601,1.9783,121677,1216770.0,121678,10.0,6.621,151.035,0.709,0.088,0.621,True,821.848007429506,
config_CIN16_HIN28_WIN28_COUT16_K1_UFCIN4_UFCOU1_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_16_5_,conv,vitis,impl,"ap_fixed<16,5>",48,5,4860,4390,1824,2520,548160,274080,2.6316,0.1984,0.8866,1.6017,407848,4078480.0,407849,10.0,6.589,151.768,0.694,0.073,0.621,True,245.18938428041818,
config_CIN16_HIN28_WIN28_COUT16_K1_UFCIN4_UFCOU1_PAD1_STRIDE1_BIASTrue_group_conv2d_GROUPS2_ACTIVATIONrelu_ap_fixed_16_5_,conv,vitis,impl,"ap_fixed<16,5>",48,5,4952,4537,1824,2520,548160,274080,2.6316,0.1984,0.9034,1.6554,757112,7571120.0,757113,10.0,7.273,137.495,0.695,0.074,0.621,True,132.0808546159617,
config_CIN16_HIN28_WIN28_COUT16_K1_UFCIN4_UFCOU4_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_16_5_,conv,vitis,impl,"ap_fixed<16,5>",49,17,4833,4632,1824,2520,548160,274080,2.6864,0.6746,0.8817,1.69,224248,2242480.0,224249,10.0,6.153,162.522,0.702,0.082,0.621,True,445.9348578359673,
config_CIN16_HIN28_WIN28_COUT16_K1_UFCIN4_UFCOU4_PAD1_STRIDE1_BIASTrue_group_conv2d_GROUPS4_ACTIVATIONrelu_ap_fixed_16_5_,conv,vitis,impl,"ap_fixed<16,5>",49,17,5109,4470,1824,2520,548160,274080,2.6864,0.6746,0.932,1.6309,89440,894400.0,89441,10.0,6.019,166.141,0.703,0.082,0.621,True,1118.067978533095,
