design,domain,tool,flow,datatype,bram,dsp,ff,lut,bram_avail,dsp_avail,ff_avail,lut_avail,bram_util,dsp_util,ff_util,lut_util,cycles,latency_ns,ii,target_clock_ns,achieved_clock_ns,fmax_mhz,power_w,power_dyn_w,power_static_w,timing_met,throughput,notes
GEMM_config_M128_K128_N128_UM1_UK1_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_16_5_,gemm,vitis,impl,"ap_fixed<16,5>",32,3,3176,2313,1824,2520,548160,274080,1.7544,0.119,0.5794,0.8439,49477,494770.0,49478,10.0,2.989,334.56,0.652,0.032,0.621,True,2021.1411362855467,
GEMM_config_M128_K128_N128_UM1_UK1_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_2_ap_fixed_16_5_,gemm,vitis,impl,"ap_fixed<16,5>",47,3,3145,2209,1824,2520,548160,274080,2.5768,0.119,0.5737,0.806,2162881,21628810.0,2162882,10.0,3.558,281.057,0.655,0.034,0.621,True,46.23462871974926,
GEMM_config_M128_K128_N128_UM1_UK1_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_3_ap_fixed_16_5_,gemm,vitis,impl,"ap_fixed<16,5>",47,3,3297,2351,1824,2520,548160,274080,2.5768,0.119,0.6015,0.8578,2162889,21628890.0,2162890,10.0,3.342,299.222,0.661,0.04,0.621,True,46.23445770911036,
GEMM_config_M128_K128_N128_UM1_UK1_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_4_ap_fixed_16_5_,gemm,vitis,impl,"ap_fixed<16,5>",32,3,3180,2317,1824,2520,548160,274080,1.7544,0.119,0.5801,0.8454,65999,659990.0,66000,10.0,3.464,288.684,0.655,0.034,0.621,True,1515.17447234049,
GEMM_config_M128_K128_N128_UM1_UK1_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_5_ap_fixed_16_5_,gemm,vitis,impl,"ap_fixed<16,5>",32,3,3215,2330,1824,2520,548160,274080,1.7544,0.119,0.5865,0.8501,49610,496100.0,49611,10.0,2.779,359.842,0.654,0.034,0.621,True,2015.7226365652086,
GEMM_config_M128_K128_N128_UM1_UK1_UN1_ijk_BIAS_True_INLINE_True_COMPORDER_option_1_ap_fixed_16_5_,gemm,vitis,impl,"ap_fixed<16,5>",32,3,3290,2346,1824,2520,548160,274080,1.7544,0.119,0.6002,0.856,49486,494860.0,49487,10.0,3.159,316.556,0.656,0.036,0.621,True,2020.77355211575,
GEMM_config_M128_K128_N128_UM1_UK1_UN1_ijk_BIAS_True_INLINE_True_COMPORDER_option_2_ap_fixed_16_5_,gemm,vitis,impl,"ap_fixed<16,5>",47,3,3255,2298,1824,2520,548160,274080,2.5768,0.119,0.5938,0.8384,2162886,21628860.0,2162887,10.0,3.325,300.752,0.661,0.04,0.621,True,46.2345218379517,
GEMM_config_M128_K128_N128_UM1_UK1_UN1_ijk_BIAS_True_INLINE_True_COMPORDER_option_3_ap_fixed_16_5_,gemm,vitis,impl,"ap_fixed<16,5>",47,3,3409,2383,1824,2520,548160,274080,2.5768,0.119,0.6219,0.8695,2162896,21628960.0,2162897,10.0,3.466,288.517,0.66,0.04,0.621,True,46.23430807583906,
GEMM_config_M128_K128_N128_UM1_UK1_UN1_ijk_BIAS_True_INLINE_True_COMPORDER_option_4_ap_fixed_16_5_,gemm,vitis,impl,"ap_fixed<16,5>",32,3,3290,2348,1824,2520,548160,274080,1.7544,0.119,0.6002,0.8567,66004,660040.0,66005,10.0,3.011,332.116,0.654,0.033,0.621,True,1515.059693351918,
GEMM_config_M128_K128_N128_UM1_UK1_UN1_ijk_BIAS_True_INLINE_True_COMPORDER_option_5_ap_fixed_16_5_,gemm,vitis,impl,"ap_fixed<16,5>",32,3,3327,2364,1824,2520,548160,274080,1.7544,0.119,0.6069,0.8625,49617,496170.0,49618,10.0,3.212,311.333,0.655,0.034,0.621,True,2015.4382570489954,
