design,domain,tool,flow,datatype,bram,dsp,ff,lut,bram_avail,dsp_avail,ff_avail,lut_avail,bram_util,dsp_util,ff_util,lut_util,cycles,latency_ns,ii,target_clock_ns,achieved_clock_ns,fmax_mhz,power_w,power_dyn_w,power_static_w,timing_met,throughput,notes
ATTN_config_16_128_16_16_1_layer_norm_False_DROPTrue_0.1_ap_fixed_16_5_,llm,vitis,impl,"ap_fixed<16,5>",54,69,22768,25830,1824,2520,548160,274080,2.9605,2.7381,4.1535,9.4243,604295,6042950.0,604296,10.0,6.377,156.814,1.176,0.553,0.623,True,165.48209070073392,
ATTN_config_16_128_16_16_1_layer_norm_ROPE_False_DROP_False_ap_fixed_16_5_,llm,vitis,impl,"ap_fixed<16,5>",50,67,22682,25732,1824,2520,548160,274080,2.7412,2.6587,4.1378,9.3885,600455,6004550.0,600456,10.0,6.18,161.812,1.175,0.552,0.623,True,166.54037355005786,
ATTN_config_16_128_16_16_1_layer_norm_True_DROPTrue_0.5_ap_fixed_16_5_,llm,vitis,impl,"ap_fixed<16,5>",54,67,23249,25995,1824,2520,548160,274080,2.9605,2.6587,4.2413,9.4845,645520,6455200.0,645521,10.0,7.247,137.988,1.177,0.553,0.623,True,154.91386788945346,
ATTN_config_16_128_16_16_1_rms_norm_ROPE_False_DROP_False_ap_fixed_16_5_,llm,vitis,impl,"ap_fixed<16,5>",48,72,20391,23764,1824,2520,548160,274080,2.6316,2.8571,3.7199,8.6705,591435,5914350.0,591436,10.0,6.697,149.321,1.157,0.534,0.623,True,169.0802877746498,
ATTN_config_16_128_16_16_1_rms_norm_True_DROPTrue_0.5_ap_fixed_16_5_,llm,vitis,impl,"ap_fixed<16,5>",52,72,20468,23811,1824,2520,548160,274080,2.8509,2.8571,3.7339,8.6876,636500,6365000.0,636501,10.0,6.472,154.512,1.161,0.538,0.623,True,157.10919088766693,
ATTN_config_16_128_16_16_2_layer_norm_ROPE_False_DROP_False_ap_fixed_16_5_,llm,vitis,impl,"ap_fixed<16,5>",50,67,22690,25727,1824,2520,548160,274080,2.7412,2.6587,4.1393,9.3867,600459,6004590.0,600460,10.0,6.378,156.789,1.172,0.549,0.623,True,166.53926412960752,
ATTN_config_16_128_16_16_2_layer_norm_True_DROPTrue_0.5_ap_fixed_16_5_,llm,vitis,impl,"ap_fixed<16,5>",54,67,23257,25981,1824,2520,548160,274080,2.9605,2.6587,4.2427,9.4793,645524,6455240.0,645525,10.0,6.545,152.788,1.19,0.566,0.623,True,154.9129079631431,
ATTN_config_16_128_16_16_2_rms_norm_ROPE_False_DROP_False_ap_fixed_16_5_,llm,vitis,impl,"ap_fixed<16,5>",48,72,20399,23758,1824,2520,548160,274080,2.6316,2.8571,3.7214,8.6683,591439,5914390.0,591440,10.0,7.16,139.665,1.161,0.538,0.623,True,169.0791442566351,
ATTN_config_16_128_16_16_2_rms_norm_True_DROPTrue_0.5_ap_fixed_16_5_,llm,vitis,impl,"ap_fixed<16,5>",52,72,20476,23809,1824,2520,548160,274080,2.8509,2.8571,3.7354,8.6869,636504,6365040.0,636505,10.0,6.549,152.695,1.186,0.562,0.623,True,157.1082035619572,
ATTN_config_16_128_16_16_4_layer_norm_False_DROPTrue_0.5_ap_fixed_16_5_,llm,vitis,impl,"ap_fixed<16,5>",54,67,22746,25741,1824,2520,548160,274080,2.9605,2.6587,4.1495,9.3918,604563,6045630.0,604564,10.0,6.771,147.689,1.193,0.57,0.623,True,165.40873325029816,
ATTN_config_16_128_16_16_4_layer_norm_True_DROPTrue_0.3_ap_fixed_16_5_,llm,vitis,impl,"ap_fixed<16,5>",54,69,23383,26076,1824,2520,548160,274080,2.9605,2.7381,4.2657,9.514,645268,6452680.0,645269,10.0,6.547,152.742,1.201,0.577,0.624,True,154.97436723965856,
