design,domain,tool,flow,datatype,bram,dsp,ff,lut,bram_avail,dsp_avail,ff_avail,lut_avail,bram_util,dsp_util,ff_util,lut_util,cycles,latency_ns,ii,target_clock_ns,achieved_clock_ns,fmax_mhz,power_w,power_dyn_w,power_static_w,timing_met,throughput,notes
ATTN_config_16_128_16_16_1_layer_norm_False_DROPTrue_0.1_ap_fixed_16_5_,llm,vitis,impl,"ap_fixed<16,5>",54,69,22768,25830,1824,2520,548160,274080,2.9605,2.7381,4.1535,9.4243,604295,6042950.0,604296,10.0,6.377,156.814,1.176,0.553,0.623,True,165.48209070073392,
ATTN_config_16_128_16_16_1_layer_norm_False_DROPTrue_0.5_ap_fixed_16_5_,llm,vitis,impl,"ap_fixed<16,5>",54,67,22739,25767,1824,2520,548160,274080,2.9605,2.6587,4.1482,9.4013,604555,6045550.0,604556,10.0,6.513,153.539,1.176,0.552,0.623,True,165.41092208318514,
ATTN_config_16_128_16_16_1_layer_norm_ROPE_True_DROP_False_ap_fixed_16_5_,llm,vitis,impl,"ap_fixed<16,5>",50,67,23095,25916,1824,2520,548160,274080,2.7412,2.6587,4.2132,9.4556,641420,6414200.0,641421,10.0,6.664,150.06,1.181,0.557,0.623,True,155.90408780518226,
ATTN_config_16_128_16_16_1_layer_norm_True_DROPTrue_0.5_ap_fixed_16_5_,llm,vitis,impl,"ap_fixed<16,5>",54,67,23249,25995,1824,2520,548160,274080,2.9605,2.6587,4.2413,9.4845,645520,6455200.0,645521,10.0,7.247,137.988,1.177,0.553,0.623,True,154.91386788945346,
ATTN_config_16_128_16_16_1_rms_norm_False_DROPTrue_0.3_ap_fixed_16_5_,llm,vitis,impl,"ap_fixed<16,5>",52,74,20463,23858,1824,2520,548160,274080,2.8509,2.9365,3.733,8.7048,595275,5952750.0,595276,10.0,6.333,157.903,1.161,0.538,0.623,True,167.98958464575196,
ATTN_config_16_128_16_16_1_rms_norm_ROPE_True_DROP_False_ap_fixed_16_5_,llm,vitis,impl,"ap_fixed<16,5>",48,72,20424,23755,1824,2520,548160,274080,2.6316,2.8571,3.7259,8.6672,632400,6324000.0,632401,10.0,6.718,148.854,1.161,0.538,0.623,True,158.12776723592663,
ATTN_config_16_128_16_16_1_rms_norm_True_DROPTrue_0.3_ap_fixed_16_5_,llm,vitis,impl,"ap_fixed<16,5>",52,74,20496,23853,1824,2520,548160,274080,2.8509,2.9365,3.7391,8.7029,636240,6362400.0,636241,10.0,6.41,156.006,1.163,0.539,0.623,True,157.1733936879165,
ATTN_config_16_128_16_16_2_layer_norm_False_DROPTrue_0.1_ap_fixed_16_5_,llm,vitis,impl,"ap_fixed<16,5>",54,69,22776,25838,1824,2520,548160,274080,2.9605,2.7381,4.155,9.4272,604299,6042990.0,604300,10.0,6.516,153.468,1.184,0.561,0.623,True,165.48099533509074,
ATTN_config_16_128_16_16_2_layer_norm_ROPE_False_DROP_False_ap_fixed_16_5_,llm,vitis,impl,"ap_fixed<16,5>",50,67,22690,25727,1824,2520,548160,274080,2.7412,2.6587,4.1393,9.3867,600459,6004590.0,600460,10.0,6.378,156.789,1.172,0.549,0.623,True,166.53926412960752,
ATTN_config_16_128_16_16_2_layer_norm_True_DROPTrue_0.1_ap_fixed_16_5_,llm,vitis,impl,"ap_fixed<16,5>",54,69,23383,26083,1824,2520,548160,274080,2.9605,2.7381,4.2657,9.5166,645264,6452640.0,645265,10.0,6.81,146.843,1.195,0.571,0.624,True,154.9753279277939,
ATTN_config_16_128_16_16_2_rms_norm_False_DROPTrue_0.1_ap_fixed_16_5_,llm,vitis,impl,"ap_fixed<16,5>",52,74,20471,23866,1824,2520,548160,274080,2.8509,2.9365,3.7345,8.7077,595279,5952790.0,595280,10.0,6.491,154.059,1.166,0.542,0.623,True,167.98845583331513,
