Project,Function,LUT_Utilization,DSP_Utilization

activation_module,Overall,3.01,0.24
activation_module,compute_exp,0.24,0.12

activation_op1,Overall,2.36,0.12
activation_op2,Overall,2.51,0.12
activation_op3,Overall,2.07,0.16

conv_block_module,Overall,11.65,1.11
conv_block_module,conv_via_tiling_3x3,2.21,0.56
conv_block_op1,Overall,6.01,0.4
conv_block_op2,Overall,7.75,0.48
conv_block_op3,Overall,10.51,0.56
conv_module,Overall,4.25,0.67
conv_module,conv_via_tiling_3x3,2.1,0.48
conv_A,Overall,1.78,0.04
conv_B,Overall,3.59,0.04
conv_C,Overall,1.8,0.04
