Project,Function,CYCLE,LATENCY,BRAM,DSP,FF,LUT,BRAM_Utilization,LUT_Utilization,FF_Utilization,DSP_Utilization
config_CIN120_HIN14_WIN14_COUT120_K1_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,449877,4.499 ms,622,1604,19037,84566,34.10087719298245,30.85,3.472891126678342,63.65
config_CIN120_HIN14_WIN14_COUT120_K1_UFCIN20_UFCOU24_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,418901,4.189 ms,238,1924,35344,104225,13.048245614035087,38.03,6.447752481027437,76.35
config_CIN120_HIN14_WIN14_COUT120_K1_UFCIN24_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,449621,4.496 ms,190,1924,35618,103963,10.416666666666668,37.93,6.497737886748395,76.35
config_CIN120_HIN14_WIN14_COUT120_K1_UFCIN24_UFCOU24_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,418645,4.186 ms,206,2308,39878,119212,11.293859649122808,43.5,7.274883245767659,91.59
config_CIN120_HIN14_WIN14_COUT120_K3_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,2366345,23.663 ms,610,1604,18999,87651,33.44298245614035,31.98,3.4659588441331,63.65
config_CIN120_HIN14_WIN14_COUT120_K3_UFCIN20_UFCOU24_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,2154469,21.545 ms,658,1924,19600,100219,36.07456140350877,36.57,3.5755983654407473,76.35
config_CIN120_HIN14_WIN14_COUT120_K3_UFCIN24_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,2364581,23.646 ms,658,1924,20349,100448,36.07456140350877,36.65,3.712237302977233,76.35
config_CIN120_HIN14_WIN14_COUT120_K3_UFCIN24_UFCOU24_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,2152705,21.527 ms,722,2308,20901,115474,39.58333333333333,42.13,3.812937828371279,91.59
config_CIN120_HIN14_WIN28_COUT120_K1_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,825973,8.260 ms,834,1604,19408,85293,45.723684210526315,31.12,3.540572095738471,63.65
config_CIN120_HIN14_WIN28_COUT120_K1_UFCIN20_UFCOU24_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,767893,7.679 ms,466,1924,35795,104952,25.548245614035086,38.29,6.530027729130181,76.35
config_CIN120_HIN14_WIN28_COUT120_K1_UFCIN24_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,825493,8.255 ms,370,1924,36069,104822,20.285087719298247,38.25,6.580013134851138,76.35
config_CIN120_HIN14_WIN28_COUT120_K1_UFCIN24_UFCOU24_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,767413,7.674 ms,402,2308,40425,120071,22.039473684210524,43.81,7.374671628721541,91.59
