Project,Function,LUT_Utilization,DSP_Utilization
testing_impl,Overall,3.86,2.54

diff_dims_p1,Overall,12.07,15.24
diff_dims_p2,Overall,6.35,5.08
diff_dims_p3,Overall,18.18,20.32

mult_op_p1,Overall,45.34,81.27
mult_op_p2,Overall,6.75,10.16
mult_op_p3,Overall,1.39,0.63

diff_orders_p1,Overall,42.65,81.27
diff_orders_p2,Overall,44.35,81.27
diff_orders_p3,Overall,43.63,81.27
vec_mtx_p1,Overall,6.66,10.16
vec_mtx_p2,Overall,4.92,10.16
mlp,Overall,134.01,325.32

diff_dims_module_small,Overall,8.57,0.63
diff_dims_module_small,tiled_gemm,4.03,0.63

diff_dims_module_large,Overall,79.98,81.27
diff_dims_module_large,tiled_gemm,42.95,81.27

mult_op_module_dot,Overall,4.39,1.27
mult_op_module_dot,dot_product,0.06,0.63

mult_op_module_mmv,Overall,11.9,10.16
mult_op_module_mmv,mmv_ij,1.58,5.08


mult_op_module_mm,Overall,58.03,81.27
mult_op_module_mm,gemm_ijk,36.45,81.27

diff_orders_module,Overall,61.42,81.27
diff_orders_module,common_gemm_ikj,32.71,81.27
vec_mtx_module,Overall,17.62,10.16
vec_mtx_module,mmv_ij,1.99,10.16
testing_unroll,Overall,45.83,23.49
