Project,Function,CYCLE,LATENCY,BRAM,DSP,FF,LUT,BRAM_Utilization,LUT_Utilization,FF_Utilization,DSP_Utilization
GEMM_config_M256_K64_N256_UM1_UK1_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,66375,0.664 ms,70,12,2571,4192,3.8377192982456143,1.53,0.469023642732049,0.48
GEMM_config_M256_K64_N256_UM1_UK1_UN4_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,53891,0.539 ms,76,36,3021,5416,4.166666666666666,1.98,0.55111646234676,1.43
GEMM_config_M256_K64_N256_UM1_UK1_UN16_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,50803,0.508 ms,68,92,5833,10211,3.7280701754385963,3.73,1.0641053706946877,3.65
GEMM_config_M256_K64_N256_UM1_UK4_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,50255,0.503 ms,75,36,3307,5483,4.111842105263158,2.0,0.6032910099241098,1.43
GEMM_config_M256_K64_N256_UM1_UK4_UN4_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,37775,0.378 ms,81,96,3417,7487,4.440789473684211,2.73,0.6233581436077057,3.81
GEMM_config_M256_K64_N256_UM1_UK4_UN16_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,34687,0.347 ms,105,288,6962,18131,5.756578947368421,6.62,1.270067133683596,11.43
GEMM_config_M256_K64_N256_UM1_UK16_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,50243,0.502 ms,71,132,5905,11304,3.8925438596491233,4.12,1.0772402218330415,5.24
GEMM_config_M256_K64_N256_UM1_UK16_UN4_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,37763,0.378 ms,109,336,6217,18231,5.975877192982456,6.65,1.1341579100992412,13.33
GEMM_config_M256_K64_N256_UM1_UK16_UN16_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,34675,0.347 ms,293,1112,8800,48369,16.063596491228072,17.65,1.6053706946876825,44.13
GEMM_config_M256_K64_N256_UM4_UK1_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,67719,0.677 ms,75,24,3039,4921,4.111842105263158,1.8,0.5544001751313485,0.95
GEMM_config_M256_K64_N256_UM4_UK1_UN4_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,71687,0.717 ms,81,48,3729,7189,4.440789473684211,2.62,0.6802758318739054,1.9
GEMM_config_M256_K64_N256_UM4_UK1_UN16_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,68551,0.686 ms,73,104,6646,14459,4.00219298245614,5.28,1.2124197314652656,4.13
GEMM_config_M256_K64_N256_UM4_UK4_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,55699,0.557 ms,78,84,3739,7559,4.276315789473684,2.76,0.6821001167542323,3.33
GEMM_config_M256_K64_N256_UM4_UK4_UN4_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,43027,0.430 ms,84,144,3849,9555,4.605263157894736,3.49,0.7021672504378283,5.71
GEMM_config_M256_K64_N256_UM4_UK4_UN16_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,44243,0.442 ms,108,312,8038,24337,5.921052631578947,8.88,1.4663601868067717,12.38
GEMM_config_M256_K64_N256_UM4_UK16_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,52615,0.526 ms,106,324,6401,18934,5.81140350877193,6.91,1.1677247518972562,12.86
GEMM_config_M256_K64_N256_UM4_UK16_UN4_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,39943,0.399 ms,144,528,6713,25860,7.894736842105263,9.44,1.224642440163456,20.95
GEMM_config_M256_K64_N256_UM4_UK16_UN16_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,36807,0.368 ms,328,1304,9296,55998,17.982456140350877,20.43,1.6958552247518972,51.75
GEMM_config_M256_K64_N256_UM16_UK1_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,67671,0.677 ms,71,72,4805,8318,3.8925438596491233,3.03,0.8765688849970812,2.86
GEMM_config_M256_K64_N256_UM16_UK1_UN4_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,71639,0.716 ms,77,96,6407,14454,4.2214912280701755,5.27,1.1688193228254524,3.81
GEMM_config_M256_K64_N256_UM16_UK1_UN16_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,68503,0.685 ms,69,152,9840,30448,3.7828947368421053,11.11,1.7950963222416811,6.03
GEMM_config_M256_K64_N256_UM16_UK4_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,55651,0.557 ms,106,276,5627,15833,5.81140350877193,5.78,1.0265251021599533,10.95
GEMM_config_M256_K64_N256_UM16_UK4_UN4_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,42979,0.430 ms,112,336,5737,17836,6.140350877192982,6.51,1.0465922358435493,13.33
GEMM_config_M256_K64_N256_UM16_UK4_UN16_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,44195,0.442 ms,136,408,13850,47126,7.456140350877193,17.19,2.526634559252773,16.19
GEMM_config_M256_K64_N256_UM16_UK16_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,52567,0.526 ms,294,1092,8481,48323,16.11842105263158,17.63,1.547176007005254,43.33
GEMM_config_M256_K64_N256_UM16_UK16_UN4_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,39895,0.399 ms,332,1296,8793,55248,18.201754385964914,20.16,1.6040936952714535,51.43
GEMM_config_M256_K64_N256_UM16_UK16_UN16_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,36759,0.368 ms,516,2072,11376,85386,28.289473684210524,31.15,2.075306479859895,82.22
GEMM_config_M256_K64_N1024_UM1_UK1_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,166982,1.670 ms,157,12,2592,4220,8.607456140350877,1.54,0.4728546409807356,0.48
GEMM_config_M256_K64_N1024_UM1_UK1_UN4_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,99907,0.999 ms,165,36,3050,5434,9.046052631578947,1.98,0.5564068884997081,1.43
GEMM_config_M256_K64_N1024_UM1_UK1_UN16_ijk_BIAS_False_INLINE_True_COMPORDER_option_1_ap_fixed_32_10_,Overall,87555,0.876 ms,197,92,4859,10119,10.800438596491228,3.69,0.8864200233508466,3.65
