Project,Function,DSP_Utilization,LUT_Utilization
testing_impl,Overall,1.27,1.13

diff_dims_p1,Overall,0.04,0.78
diff_dims_p2,Overall,2.54,1.41
diff_dims_p3,Overall,0.04,0.79

mult_op_p1,Overall,1.27,0.99
mult_op_p2,Overall,2.54,0.94
mult_op_p3,Overall,0.04,0.6

diff_orders_p1,Overall,2.54,1.4
diff_orders_p2,Overall,1.27,1.42
diff_orders_p3,Overall,2.54,1.65

vec_mtx_p1,Overall,2.54,0.94
vec_mtx_p2,Overall,0.63,0.72

mlp,Overall,0.91,7.17

diff_dims_module_small,Overall,0.04,1.76
diff_dims_module_small,tiled_gemm,0.04,0.27

diff_dims_module_large,Overall,0.04,1.76
diff_dims_module_large,tiled_gemm,0.04,0.3

mult_op_module_mmv,Overall,0.08,1.14
mult_op_module_mmv,mmv_ij,0.04,0.04

mult_op_module_dot,Overall,5.08,2.03
mult_op_module_dot,dot_product,2.54,0.03

mult_op_module_mm,Overall,0.04,1.03
mult_op_module_mm,gemm_ijk,0.04,0.06

diff_orders_module,Overall,0.04,1.18
diff_orders_module,common_gemm_ikj,0.04,0.09
vec_mtx_module,Overall,0.08,0.96
vec_mtx_module,mmv_ij,0.04,0.04
