Project,Function,CYCLE,LATENCY,BRAM,DSP,FF,LUT,BRAM_Utilization,LUT_Utilization,FF_Utilization,DSP_Utilization
ATTN_config_96_96_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_8_8,Overall,1143023,11.430 ms,483,1142,41512,75128,26.480263157894733,27.41,7.572971395213076,45.32
ATTN_config_96_96_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_8_32,Overall,832871,8.329 ms,1251,4310,84577,178755,68.58552631578947,65.22,15.429254232340922,171.03
ATTN_config_96_96_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_24_8,Overall,1173263,11.733 ms,627,1078,54608,92722,34.375,33.83,9.9620548744892,42.78
ATTN_config_96_96_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_24_32,Overall,863120,8.631 ms,1011,4054,152608,241658,55.42763157894737,88.17,27.840046701692938,160.87
ATTN_config_96_96_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_32_8,Overall,1179887,11.799 ms,707,1078,59576,100405,38.760964912280706,36.63,10.86835960303561,42.78
ATTN_config_96_96_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_32_32,Overall,869735,8.697 ms,1027,4054,177765,269032,56.30482456140351,98.16,32.42940017513135,160.87
ATTN_config_96_96_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__24_8_8,Overall,1170679,11.707 ms,859,950,62762,122236,47.094298245614034,44.6,11.449576765907764,37.7
ATTN_config_96_96_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__24_8_32,Overall,860527,8.605 ms,475,3542,239946,375803,26.041666666666668,137.11,43.77298598949212,140.56
ATTN_config_96_96_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__24_24_8,Overall,1200919,12.009 ms,1003,886,75856,139830,54.989035087719294,51.02,13.838295388207822,35.16
ATTN_config_96_96_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__24_24_32,Overall,890776,8.908 ms,235,3286,307977,438706,12.883771929824562,160.06,56.18377845884414,130.4
ATTN_config_96_96_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__24_32_8,Overall,1207543,12.075 ms,1083,886,80824,147513,59.375,53.82,14.744600116754233,35.16
ATTN_config_96_96_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__24_32_32,Overall,897391,8.974 ms,251,3286,333134,466080,13.760964912280702,170.05,60.773131932282546,130.4
ATTN_config_96_96_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__32_8_8,Overall,1189103,11.891 ms,1059,886,73600,143180,58.05921052631579,52.24,13.42673671920607,35.16
ATTN_config_96_96_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__32_8_32,Overall,878951,8.790 ms,483,3286,311179,461606,26.480263157894733,168.42,56.767914477524805,130.4
ATTN_config_96_96_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__32_24_8,Overall,1219343,12.193 ms,1203,822,86694,160774,65.95394736842105,58.66,15.81545534150613,32.62
ATTN_config_96_96_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__32_24_32,Overall,909200,9.092 ms,243,3030,379216,524509,13.322368421052634,191.37,69.17980151780502,120.24
ATTN_config_96_96_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__32_32_8,Overall,1225967,12.260 ms,1283,822,91662,168457,70.33991228070175,61.46,16.72176007005254,32.62
ATTN_config_96_96_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__32_32_32,Overall,915815,9.158 ms,259,3030,404373,551883,14.199561403508772,201.36,73.76915499124344,120.24
ATTN_config_96_96_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_8_8,Overall,629672,6.297 ms,324,1140,602537,494858,17.763157894736842,180.55,109.91991389375364,45.24
ATTN_config_96_96_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_8_32,Overall,645416,6.454 ms,308,4204,655631,624052,16.885964912280702,227.69,119.60577203736136,166.83
ATTN_config_96_96_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_24_8,Overall,648968,6.490 ms,468,1076,615515,512516,25.657894736842106,187.0,112.28747081144192,42.7
ATTN_config_96_96_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_24_32,Overall,664712,6.647 ms,324,3948,714805,682326,17.763157894736842,248.95,130.40079538820783,156.67
ATTN_config_96_96_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_32_8,Overall,654248,6.542 ms,292,1076,628619,523271,16.00877192982456,190.92,114.6780137186223,42.7
ATTN_config_96_96_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_32_32,Overall,669992,6.700 ms,340,3948,739917,709153,18.640350877192983,258.74,134.98193957968476,156.67
ATTN_config_96_96_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__24_8_8,Overall,648112,6.481 ms,292,948,623701,534169,16.00877192982456,194.9,113.78083041447753,37.62
ATTN_config_96_96_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__24_8_32,Overall,663856,6.639 ms,396,3436,742607,867506,21.710526315789476,316.52,135.4726722124927,136.35
ATTN_config_96_96_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__24_24_8,Overall,667408,6.674 ms,436,884,636679,551827,23.903508771929825,201.34,116.1483873321658,35.08
ATTN_config_96_96_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__24_24_32,Overall,683152,6.832 ms,412,3180,801781,925780,22.587719298245617,337.78,146.26769556333917,126.19
ATTN_config_96_96_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__24_32_8,Overall,672688,6.727 ms,260,884,649783,562582,14.25438596491228,205.26,118.53893023934619,35.08
ATTN_config_96_96_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__24_32_32,Overall,688432,6.884 ms,428,3180,826893,952607,23.464912280701753,347.57,150.8488397548161,126.19
ATTN_config_96_96_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__32_8_8,Overall,660392,6.604 ms,324,884,634585,550098,17.763157894736842,200.71,115.76638207822533,35.08
ATTN_config_96_96_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__32_8_32,Overall,676136,6.761 ms,308,3180,780495,791020,16.885964912280702,288.61,142.3845227670753,126.19
ATTN_config_96_96_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__32_24_8,Overall,679688,6.797 ms,468,820,647563,567756,25.657894736842106,207.15,118.1339389959136,32.54
ATTN_config_96_96_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__32_24_32,Overall,695432,6.954 ms,324,2924,839669,849294,17.763157894736842,309.87,153.17954611792177,116.03
ATTN_config_96_96_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__32_32_8,Overall,684968,6.850 ms,292,820,660667,578511,16.00877192982456,211.07,120.524481903094,32.54
ATTN_config_96_96_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__32_32_32,Overall,700712,7.007 ms,340,2924,864781,876121,18.640350877192983,319.66,157.7606903093987,116.03
ATTN_config_96_120_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_8_8,Overall,1175855,11.759 ms,387,1142,41577,71423,21.217105263157894,26.06,7.584829246935201,45.32
ATTN_config_96_120_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_8_32,Overall,865703,8.657 ms,579,4310,87907,197928,31.743421052631575,72.22,16.036741097489784,171.03
ATTN_config_96_120_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_24_8,Overall,1206095,12.061 ms,531,1078,54673,89017,29.111842105263158,32.48,9.973912726211326,42.78
ATTN_config_96_120_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_24_32,Overall,895952,8.960 ms,339,4054,155940,260831,18.585526315789476,95.17,28.447898423817865,160.87
ATTN_config_96_120_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_32_8,Overall,1212719,12.127 ms,611,1078,59641,96700,33.497807017543856,35.28,10.880217454757734,42.78
ATTN_config_96_120_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_32_32,Overall,902567,9.026 ms,355,4054,181097,288205,19.462719298245617,105.15,33.037251897256276,160.87
ATTN_config_96_120_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__24_8_8,Overall,1212724,12.127 ms,427,950,62807,111245,23.410087719298247,40.59,11.457786047869236,37.7
ATTN_config_96_120_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__24_8_32,Overall,902567,9.026 ms,667,3542,175020,440042,36.56798245614035,160.55,31.928633975481613,140.56
ATTN_config_96_120_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__24_24_8,Overall,1242964,12.430 ms,571,886,75903,128839,31.30482456140351,47.01,13.846869527145358,35.16
ATTN_config_96_120_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__24_24_32,Overall,932816,9.328 ms,427,3286,243053,502945,23.410087719298247,183.5,44.33979130180969,130.4
ATTN_config_96_120_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__24_32_8,Overall,1249588,12.496 ms,651,886,80871,136522,35.69078947368421,49.81,14.75317425569177,35.16
ATTN_config_96_120_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__24_32_32,Overall,939431,9.394 ms,443,3286,268210,530319,24.287280701754383,193.49,48.929144775248105,130.4
ATTN_config_96_120_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__32_8_8,Overall,1231151,12.312 ms,387,886,74315,125933,21.217105263157894,45.95,13.557173088149446,35.16
ATTN_config_96_120_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__32_8_32,Overall,920999,9.210 ms,579,3286,215930,364044,31.743421052631575,132.82,39.39178342089901,130.4
ATTN_config_96_120_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__32_24_8,Overall,1261391,12.614 ms,531,822,87411,143527,29.111842105263158,52.37,15.946256567425568,32.62
ATTN_config_96_120_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__32_24_32,Overall,951248,9.512 ms,339,3030,283963,426947,18.585526315789476,155.77,51.80294074722709,120.24
ATTN_config_96_120_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__32_32_8,Overall,1268015,12.680 ms,611,822,92379,151210,33.497807017543856,55.17,16.85256129597198,32.62
ATTN_config_96_120_3_32_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__32_32_32,Overall,957863,9.579 ms,355,3030,309119,454321,19.462719298245617,165.76,56.39211179217747,120.24
ATTN_config_96_120_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_8_8,Overall,653288,6.533 ms,324,1140,602555,494892,17.763157894736842,180.56,109.92319760653824,45.24
ATTN_config_96_120_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_8_32,Overall,669032,6.690 ms,308,4204,655349,623104,16.885964912280702,227.34,119.55432720373614,166.83
ATTN_config_96_120_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_24_8,Overall,672584,6.726 ms,468,1076,615533,512550,25.657894736842106,187.01,112.2907545242265,42.7
ATTN_config_96_120_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_24_32,Overall,688328,6.883 ms,324,3948,714523,681378,17.763157894736842,248.61,130.3493505545826,156.67
ATTN_config_96_120_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_32_8,Overall,677864,6.779 ms,292,1076,628637,523305,16.00877192982456,190.93,114.68129743140689,42.7
ATTN_config_96_120_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__8_32_32,Overall,693608,6.936 ms,340,3948,739635,708205,18.640350877192983,258.39,134.93049474605954,156.67
ATTN_config_96_120_1_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__24_8_8,Overall,677869,6.779 ms,364,948,623794,534716,19.956140350877195,195.09,113.79779626386457,37.62
