Project,Function,CYCLE,LATENCY,BRAM,DSP,FF,LUT,BRAM_Utilization,LUT_Utilization,FF_Utilization,DSP_Utilization
config_CIN60_HIN28_WIN28_COUT60_K1_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,602437,6.024 ms,426,1604,32029,87554,23.355263157894736,31.94,5.843002043199066,63.65
config_CIN60_HIN28_WIN28_COUT60_K3_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,3232577,32.326 ms,812,1604,19208,86829,44.51754385964912,31.68,3.5040863981319323,63.65
config_CIN60_HIN28_WIN28_COUT120_K1_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,937180,9.372 ms,642,1604,32595,89611,35.19736842105263,32.7,5.94625656742557,63.65
config_CIN60_HIN28_WIN28_COUT120_K3_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,4682972,46.830 ms,1014,1604,19773,87538,55.5921052631579,31.94,3.607158493870403,63.65
config_CIN60_HIN28_WIN56_COUT60_K1_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,1473399,14.734 ms,754,1630,34136,86877,41.33771929824561,31.7,6.227378867483947,64.68
config_CIN60_HIN28_WIN56_COUT60_K3_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,6428161,64.282 ms,1134,1604,19632,86817,62.17105263157895,31.68,3.581436077057793,63.65
config_CIN60_HIN28_WIN56_COUT120_K1_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,2113062,21.131 ms,1138,1630,34722,88823,62.39035087719298,32.41,6.334281961471103,64.68
config_CIN60_HIN28_WIN56_COUT120_K3_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,9292108,92.921 ms,1460,1604,20195,87514,80.04385964912281,31.93,3.6841433158201986,63.65
config_CIN60_HIN28_WIN112_COUT60_K1_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,2891319,28.913 ms,1296,1630,34579,86887,71.05263157894737,31.7,6.308194687682428,64.68
config_CIN60_HIN28_WIN112_COUT60_K3_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,12819329,0.128 sec,1620,1604,20053,86810,88.81578947368422,31.67,3.6582384705195565,63.65
config_CIN60_HIN28_WIN112_COUT120_K1_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,4140822,41.408 ms,2018,1630,35164,88860,110.6359649122807,32.42,6.414915353181552,64.68
config_CIN60_HIN28_WIN112_COUT120_K3_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,18510380,0.185 sec,2274,1604,20616,87555,124.67105263157893,31.95,3.760945709281961,63.65
config_CIN60_HIN56_WIN28_COUT60_K1_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,1160255,11.603 ms,754,1608,32773,87829,41.33771929824561,32.05,5.978728838295389,63.81
config_CIN60_HIN56_WIN28_COUT60_K3_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,6428217,64.282 ms,1134,1604,19634,86962,62.17105263157895,31.73,3.581800934033859,63.65
config_CIN60_HIN56_WIN28_COUT120_K1_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,1799918,17.999 ms,1138,1608,33359,89774,62.39035087719298,32.75,6.085631932282546,63.81
config_CIN60_HIN56_WIN28_COUT120_K3_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,9292164,92.922 ms,1460,1604,20196,87475,80.04385964912281,31.92,3.6843257443082313,63.65
config_CIN60_HIN56_WIN56_COUT60_K1_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,2847248,28.472 ms,1248,1630,34903,87292,68.42105263157895,31.85,6.36730151780502,64.68
config_CIN60_HIN56_WIN56_COUT60_K3_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,12819385,0.128 sec,1620,1604,20055,86955,88.81578947368422,31.73,3.6586033274956216,63.65
config_CIN60_HIN56_WIN56_COUT120_K1_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,4076423,40.764 ms,1926,1630,35488,89259,105.5921052631579,32.57,6.474022183304144,64.68
config_CIN60_HIN56_WIN56_COUT120_K3_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,18510436,0.185 sec,2274,1604,20617,87516,124.67105263157893,31.93,3.7611281377699943,63.65
config_CIN60_HIN56_WIN112_COUT60_K1_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,5594832,55.948 ms,2232,1630,35345,87333,122.36842105263158,31.86,6.447934909515469,64.68
config_CIN60_HIN56_WIN112_COUT60_K3_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,25601721,0.256 sec,2594,1604,20476,87000,142.21491228070175,31.74,3.7354057209573845,63.65
config_CIN60_HIN56_WIN112_COUT120_K1_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,8003031,80.030 ms,3654,1630,35931,89282,200.32894736842107,32.58,6.554838003502626,64.68
config_CIN60_HIN56_WIN112_COUT120_K3_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,36946980,0.369 sec,3940,1604,21039,87543,216.00877192982458,31.94,3.8381129597197896,63.65
config_CIN60_HIN112_WIN28_COUT60_K1_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,2275887,22.759 ms,1296,1608,33218,87871,71.05263157894737,32.06,6.059909515469935,63.81
config_CIN60_HIN112_WIN28_COUT60_K3_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,12819497,0.128 sec,1620,1604,20057,86908,88.81578947368422,31.71,3.658968184471687,63.65
config_CIN60_HIN112_WIN28_COUT120_K1_UFCIN20_UFCOU20_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,3525390,35.254 ms,2018,1608,33803,89864,110.6359649122807,32.79,6.16663018096906,63.81
