Project,Function,CYCLE,LATENCY,BRAM,DSP,FF,LUT,BRAM_Utilization,LUT_Utilization,FF_Utilization,DSP_Utilization
GEMM_config_M256_K256_N256_UM1_UK1_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_2_ap_fixed_16_5_,Overall,17039681,0.170 sec,184,3,2709,4367,10.087719298245613,1.59,0.49419877408056045,0.12
GEMM_config_M256_K256_N256_UM1_UK1_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_3_ap_fixed_16_5_,Overall,17039689,0.170 sec,185,3,3040,4687,10.142543859649123,1.71,0.5545826036193812,0.12
GEMM_config_M256_K256_N256_UM1_UK1_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_4_ap_fixed_16_5_,Overall,262991,2.630 ms,126,3,2777,4259,6.907894736842106,1.55,0.5066039112667834,0.12
GEMM_config_M256_K256_N256_UM1_UK1_UN1_ikj_BIAS_False_INLINE_True_COMPORDER_option_2_ap_fixed_16_5_,Overall,17039681,0.170 sec,184,3,2920,4519,10.087719298245613,1.65,0.5326911850554583,0.12
GEMM_config_M256_K256_N256_UM1_UK1_UN1_ikj_BIAS_False_INLINE_True_COMPORDER_option_3_ap_fixed_16_5_,Overall,17039689,0.170 sec,185,3,3251,4839,10.142543859649123,1.77,0.593075014594279,0.12
GEMM_config_M256_K256_N256_UM1_UK1_UN1_ikj_BIAS_False_INLINE_True_COMPORDER_option_4_ap_fixed_16_5_,Overall,262991,2.630 ms,126,3,2777,4259,6.907894736842106,1.55,0.5066039112667834,0.12
GEMM_config_M256_K256_N256_UM1_UK1_UN1_jik_BIAS_False_INLINE_True_COMPORDER_option_2_ap_fixed_16_5_,Overall,17039681,0.170 sec,184,3,2920,4519,10.087719298245613,1.65,0.5326911850554583,0.12
GEMM_config_M256_K256_N256_UM1_UK1_UN1_jik_BIAS_False_INLINE_True_COMPORDER_option_3_ap_fixed_16_5_,Overall,17039689,0.170 sec,185,3,2829,4535,10.142543859649123,1.65,0.5160901926444834,0.12
GEMM_config_M256_K256_N256_UM1_UK1_UN1_jik_BIAS_False_INLINE_True_COMPORDER_option_4_ap_fixed_16_5_,Overall,262991,2.630 ms,126,3,3199,4563,6.907894736842106,1.66,0.5835887332165791,0.12
GEMM_config_M256_K256_N256_UM1_UK1_UN1_jki_BIAS_False_INLINE_True_COMPORDER_option_2_ap_fixed_16_5_,Overall,17039681,0.170 sec,184,3,2920,4519,10.087719298245613,1.65,0.5326911850554583,0.12
GEMM_config_M256_K256_N256_UM1_UK1_UN1_jki_BIAS_False_INLINE_True_COMPORDER_option_3_ap_fixed_16_5_,Overall,17039689,0.170 sec,185,3,2829,4535,10.142543859649123,1.65,0.5160901926444834,0.12
GEMM_config_M256_K256_N256_UM1_UK1_UN1_jki_BIAS_False_INLINE_True_COMPORDER_option_4_ap_fixed_16_5_,Overall,262991,2.630 ms,126,3,3199,4563,6.907894736842106,1.66,0.5835887332165791,0.12
GEMM_config_M256_K256_N256_UM1_UK1_UN1_kij_BIAS_False_INLINE_True_COMPORDER_option_2_ap_fixed_16_5_,Overall,17039681,0.170 sec,184,3,2920,4519,10.087719298245613,1.65,0.5326911850554583,0.12
GEMM_config_M256_K256_N256_UM1_UK1_UN1_kij_BIAS_False_INLINE_True_COMPORDER_option_3_ap_fixed_16_5_,Overall,17039689,0.170 sec,185,3,3251,4839,10.142543859649123,1.77,0.593075014594279,0.12
GEMM_config_M256_K256_N256_UM1_UK1_UN1_kij_BIAS_False_INLINE_True_COMPORDER_option_4_ap_fixed_16_5_,Overall,262991,2.630 ms,126,3,2777,4259,6.907894736842106,1.55,0.5066039112667834,0.12
GEMM_config_M256_K256_N256_UM1_UK1_UN1_kji_BIAS_False_INLINE_True_COMPORDER_option_2_ap_fixed_16_5_,Overall,17039681,0.170 sec,184,3,2920,4519,10.087719298245613,1.65,0.5326911850554583,0.12
GEMM_config_M256_K256_N256_UM1_UK1_UN1_kji_BIAS_False_INLINE_True_COMPORDER_option_3_ap_fixed_16_5_,Overall,17039689,0.170 sec,185,3,2829,4535,10.142543859649123,1.65,0.5160901926444834,0.12
GEMM_config_M256_K256_N256_UM1_UK1_UN1_kji_BIAS_False_INLINE_True_COMPORDER_option_4_ap_fixed_16_5_,Overall,262991,2.630 ms,126,3,3199,4563,6.907894736842106,1.66,0.5835887332165791,0.12
GEMM_config_M256_K256_N256_UM1_UK1_UN8_ijk_BIAS_False_INLINE_True_COMPORDER_option_2_ap_fixed_16_5_,Overall,2244929,22.449 ms,190,24,3430,6036,10.416666666666668,2.2,0.6257297139521308,0.95
GEMM_config_M256_K256_N256_UM1_UK1_UN8_ijk_BIAS_False_INLINE_True_COMPORDER_option_3_ap_fixed_16_5_,Overall,2302281,23.023 ms,192,17,3317,5579,10.526315789473683,2.04,0.6051152948044367,0.67
GEMM_config_M256_K256_N256_UM1_UK1_UN8_ijk_BIAS_False_INLINE_True_COMPORDER_option_4_ap_fixed_16_5_,Overall,205647,2.056 ms,129,10,3050,5064,7.072368421052631,1.85,0.5564068884997081,0.4
GEMM_config_M256_K256_N256_UM1_UK1_UN8_ikj_BIAS_False_INLINE_True_COMPORDER_option_2_ap_fixed_16_5_,Overall,17400670,0.174 sec,190,24,4433,6965,10.416666666666668,2.54,0.8087054874489199,0.95
GEMM_config_M256_K256_N256_UM1_UK1_UN8_ikj_BIAS_False_INLINE_True_COMPORDER_option_3_ap_fixed_16_5_,Overall,17458507,0.175 sec,192,17,4322,6576,10.526315789473683,2.4,0.7884559252772914,0.67
GEMM_config_M256_K256_N256_UM1_UK1_UN8_ikj_BIAS_False_INLINE_True_COMPORDER_option_4_ap_fixed_16_5_,Overall,205647,2.056 ms,129,10,3050,5064,7.072368421052631,1.85,0.5564068884997081,0.4
GEMM_config_M256_K256_N256_UM1_UK1_UN8_jik_BIAS_False_INLINE_True_COMPORDER_option_2_ap_fixed_16_5_,Overall,2304122,23.041 ms,190,24,4316,7679,10.416666666666668,2.8,0.7873613543490952,0.95
GEMM_config_M256_K256_N256_UM1_UK1_UN8_jik_BIAS_False_INLINE_True_COMPORDER_option_3_ap_fixed_16_5_,Overall,2304098,23.041 ms,192,17,4102,6386,10.526315789473683,2.33,0.7483216579100992,0.67
GEMM_config_M256_K256_N256_UM1_UK1_UN8_jik_BIAS_False_INLINE_True_COMPORDER_option_4_ap_fixed_16_5_,Overall,265100,2.651 ms,129,10,4192,6073,7.072368421052631,2.22,0.7647402218330415,0.4
GEMM_config_M256_K256_N256_UM1_UK1_UN8_jki_BIAS_False_INLINE_True_COMPORDER_option_2_ap_fixed_16_5_,Overall,17452057,0.175 sec,190,24,4995,8509,10.416666666666668,3.1,0.9112302977232924,0.95
GEMM_config_M256_K256_N256_UM1_UK1_UN8_jki_BIAS_False_INLINE_True_COMPORDER_option_3_ap_fixed_16_5_,Overall,17452518,0.175 sec,192,17,4783,7214,10.526315789473683,2.63,0.872555458260362,0.67
GEMM_config_M256_K256_N256_UM1_UK1_UN8_jki_BIAS_False_INLINE_True_COMPORDER_option_4_ap_fixed_16_5_,Overall,265100,2.651 ms,129,10,4192,6073,7.072368421052631,2.22,0.7647402218330415,0.4
GEMM_config_M256_K256_N256_UM1_UK1_UN8_kij_BIAS_False_INLINE_True_COMPORDER_option_2_ap_fixed_16_5_,Overall,16927200,0.169 sec,190,24,5683,9012,10.416666666666668,3.29,1.036741097489784,0.95
GEMM_config_M256_K256_N256_UM1_UK1_UN8_kij_BIAS_False_INLINE_True_COMPORDER_option_3_ap_fixed_16_5_,Overall,16985037,0.170 sec,192,17,5572,8615,10.526315789473683,3.14,1.0164915353181554,0.67
GEMM_config_M256_K256_N256_UM1_UK1_UN8_kij_BIAS_False_INLINE_True_COMPORDER_option_4_ap_fixed_16_5_,Overall,205647,2.056 ms,129,10,3050,5064,7.072368421052631,1.85,0.5564068884997081,0.4
GEMM_config_M256_K256_N256_UM1_UK1_UN8_kji_BIAS_False_INLINE_True_COMPORDER_option_2_ap_fixed_16_5_,Overall,16986393,0.170 sec,190,24,4817,9530,10.416666666666668,3.48,0.8787580268534734,0.95
GEMM_config_M256_K256_N256_UM1_UK1_UN8_kji_BIAS_False_INLINE_True_COMPORDER_option_3_ap_fixed_16_5_,Overall,16986854,0.170 sec,192,17,4605,8235,10.526315789473683,3.0,0.840083187390543,0.67
GEMM_config_M256_K256_N256_UM1_UK1_UN8_kji_BIAS_False_INLINE_True_COMPORDER_option_4_ap_fixed_16_5_,Overall,265100,2.651 ms,129,10,4192,6073,7.072368421052631,2.22,0.7647402218330415,0.4
GEMM_config_M256_K256_N256_UM1_UK8_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_2_ap_fixed_16_5_,Overall,17507390,0.175 sec,192,10,3616,5681,10.526315789473683,2.07,0.6596614127262113,0.4
GEMM_config_M256_K256_N256_UM1_UK8_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_3_ap_fixed_16_5_,Overall,17507659,0.175 sec,193,10,3949,6061,10.581140350877192,2.21,0.7204100992410976,0.4
GEMM_config_M256_K256_N256_UM1_UK8_UN1_ijk_BIAS_False_INLINE_True_COMPORDER_option_4_ap_fixed_16_5_,Overall,207500,2.075 ms,132,17,4234,6693,7.236842105263158,2.44,0.7724022183304144,0.67
GEMM_config_M256_K256_N256_UM1_UK8_UN1_ikj_BIAS_False_INLINE_True_COMPORDER_option_2_ap_fixed_16_5_,Overall,17039681,0.170 sec,192,10,2932,4906,10.526315789473683,1.79,0.5348803269118505,0.4
GEMM_config_M256_K256_N256_UM1_UK8_UN1_ikj_BIAS_False_INLINE_True_COMPORDER_option_3_ap_fixed_16_5_,Overall,17039689,0.170 sec,193,10,3263,5226,10.581140350877192,1.91,0.5952641564506713,0.4
