Project,Function,CYCLE,LATENCY,BRAM,DSP,FF,LUT,BRAM_Utilization,LUT_Utilization,FF_Utilization,DSP_Utilization
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__1_1_1,Overall,53780829,0.538 sec,1299,88,27376,39941,71.2171052631579,14.57,4.994162288382954,3.49
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__1_1_16,Overall,42380118,0.424 sec,1323,108,30814,44236,72.5328947368421,16.14,5.621351430239346,4.29
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__1_1_64,Overall,42117974,0.421 sec,1323,108,41446,58835,72.5328947368421,21.47,7.560931115002918,4.29
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__1_1_128,Overall,42117974,0.421 sec,1451,108,55301,78532,79.55043859649122,28.65,10.088477816695855,4.29
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__1_16_1,Overall,40283463,0.403 sec,1323,116,28135,41906,72.5328947368421,15.29,5.132625510799767,4.6
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__1_16_16,Overall,28816703,0.288 sec,1347,136,31734,46501,73.84868421052632,16.97,5.789185639229422,5.4
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__1_16_64,Overall,28554559,0.286 sec,1347,136,42814,61100,73.84868421052632,22.29,7.810493286631641,5.4
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__1_16_128,Overall,28554559,0.286 sec,1475,136,57181,80797,80.86622807017544,29.48,10.431443374197315,5.4
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__1_64_1,Overall,37400943,0.374 sec,1323,348,32789,52534,72.5328947368421,19.17,5.981647694103912,13.81
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__1_64_16,Overall,24097139,0.241 sec,1347,368,36537,57692,73.84868421052632,21.05,6.665389667250437,14.6
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__1_64_64,Overall,23834995,0.238 sec,1347,368,47617,73347,73.84868421052632,26.76,8.686697314652655,14.6
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__1_64_128,Overall,23834995,0.238 sec,1475,368,61984,94452,80.86622807017544,34.46,11.30764740221833,14.6
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__16_1_1,Overall,40149342,0.401 sec,1347,140,29897,45738,73.84868421052632,16.69,5.454064506713369,5.56
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__16_1_16,Overall,28814166,0.288 sec,1371,160,33442,49984,75.16447368421053,18.24,6.100773496789259,6.35
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__16_1_64,Overall,28552022,0.286 sec,1371,160,44074,64583,75.16447368421053,23.56,8.040353181552831,6.35
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__16_1_128,Overall,28552022,0.286 sec,1499,160,57929,84280,82.18201754385966,30.75,10.567899883245769,6.35
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__16_16_1,Overall,26717511,0.267 sec,1371,168,30755,47654,75.16447368421053,17.39,5.610588149445418,6.67
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__16_16_16,Overall,15250751,0.153 sec,1395,188,34346,52249,76.48026315789474,19.06,6.265688849970812,7.46
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__16_16_64,Overall,14988607,0.150 sec,1395,188,45426,66848,76.48026315789474,24.39,8.28699649737303,7.46
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__16_16_128,Overall,14988607,0.150 sec,1523,188,59793,86545,83.49780701754386,31.58,10.907946584938703,7.46
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__16_64_1,Overall,23834991,0.238 sec,1371,400,35409,58282,75.16447368421053,21.26,6.459610332749562,15.87
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__16_64_16,Overall,10531187,0.105 sec,1395,420,39149,63440,76.48026315789474,23.15,7.141892877991827,16.67
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__16_64_64,Overall,10269043,0.103 sec,1395,420,50229,79095,76.48026315789474,28.86,9.163200525394046,16.67
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__16_64_128,Overall,10269043,0.103 sec,1523,420,64596,100200,83.49780701754386,36.56,11.784150612959719,16.67
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__64_1_1,Overall,39887198,0.399 sec,1347,148,36749,63337,73.84868421052632,23.11,6.704064506713368,5.87
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__64_1_16,Overall,28552022,0.286 sec,1371,168,40190,67585,75.16447368421053,24.66,7.3318009340338595,6.67
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__64_1_64,Overall,28289878,0.283 sec,1371,168,50822,82184,75.16447368421053,29.99,9.271380618797432,6.67
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__64_1_128,Overall,28289878,0.283 sec,1499,168,64677,101881,82.18201754385966,37.17,11.798927320490368,6.67
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__64_16_1,Overall,26455367,0.265 sec,1371,176,37503,65255,75.16447368421053,23.81,6.841615586690017,6.98
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__64_16_16,Overall,14988607,0.150 sec,1395,196,41094,69850,76.48026315789474,25.49,7.496716287215412,7.78
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__64_16_64,Overall,14726463,0.147 sec,1395,196,52174,84449,76.48026315789474,30.81,9.518023934617629,7.78
ATTN_config_256_256_4_64_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__64_16_128,Overall,14726463,0.147 sec,1523,196,66541,104146,83.49780701754386,38.0,12.138974022183305,7.78
