design,domain,datatype,csim_pass,cosim_pass,max_abs_err,max_rel_err,n_mismatch,n_total,notes
config_CIN16_HIN28_WIN28_COUT16_K1_IPF1_KPF11_KPF21_BPF1_OPF1_UFCIN1_UFCOU1_ap_fixed_16_5_,conv,float,PASS,,5.72205e-06,8.74394e-06,0,14400,
conv_A,conv,float,PASS,,0.000213623,1.45782e-06,0,12544,
conv_B,conv,float,PASS,,0.000579834,1.97735e-06,0,6272,
conv_C,conv,float,PASS,,0.000610352,2.07557e-06,0,25088,
conv_D,conv,float,PASS,,0.000213623,1.46446e-06,0,25088,
conv_E,conv,float,PASS,,0.000518799,1.74179e-06,0,3136,
conv_F,conv,float,PASS,,0.000640869,2.12068e-06,0,12544,
conv_G,conv,float,PASS,,0.000213623,1.45782e-06,0,9216,
conv_H,conv,float,PASS,,0.000213623,1.45782e-06,0,3136,
conv_I,conv,float,PASS,,0.000213623,1.43533e-06,0,10816,
conv_template,conv,float,PASS,,0.000732422,1.56681e-06,0,12544,
resnet18_block1,conv,float,PASS,,0.28125,1.80468e-06,0,200704,
resnet18_block2,conv,float,PASS,,1.25,2.36753e-06,0,100352,
resnet18_block2_downsample,conv,float,PASS,,0.5625,2.42869e-06,0,100352,
resnet18_block3,conv,float,PASS,,12,2.94025e-06,0,50176,
resnet18_block3_downsample,conv,float,PASS,,3.25,3.38049e-06,0,50176,
resnet18_block4,conv,float,PASS,,116,4.00076e-06,0,25088,
resnet18_block4_downsample,conv,float,PASS,,24,3.76804e-06,0,25088,
resnet50_block1,conv,float,PASS,,3.5,0.000851438,0,802816,
resnet50_block2,conv,float,PASS,,80,0.00134933,0,401408,
resnet50_block2_downsample,conv,float,PASS,,48,1.11346e-06,0,401408,
resnet50_block3,conv,float,PASS,,512,0.00196868,0,200704,
resnet50_block3_downsample,conv,float,PASS,,256,0.340265,0,200704,
resnet50_block4,conv,float,PASS,,9216,0.000319347,0,100352,
resnet50_block4_downsample,conv,float,PASS,,2560,0.0352027,0,100352,
vgg19_block1,conv,float,,,,,,,no VERIFICATION line found (csim may not have run)
vgg19_block2,conv,float,PASS,,1.47456e+06,3.31475e-06,0,200704,
vgg19_block3,conv,float,,,,,,,no VERIFICATION line found (csim may not have run)
vgg19_block4,conv,float,PASS,,6.08174e+07,4.30018e-06,0,25088,
diff_dims_p1,gemm,float,PASS,,0.000183105,1.32239e-06,0,12288,
diff_dims_p2,gemm,float,PASS,,2.28882e-05,3.52837e-07,0,8192,
diff_dims_p3,gemm,float,PASS,,1.52588e-05,4.46152e-07,0,49152,
diff_orders_p1,gemm,float,PASS,,7.62939e-06,2.36292e-07,0,4096,
diff_orders_p2,gemm,float,PASS,,7.62939e-06,2.2908e-07,0,1024,
diff_orders_p3,gemm,float,PASS,,7.62939e-06,2.46095e-07,0,8192,
mlp,gemm,float,FAIL,,0,0,4096,4096,
mult_op_p1,gemm,float,PASS,,3.8147e-06,2.08031e-07,0,512,
mult_op_p2,gemm,float,PASS,,2.86102e-06,2.11569e-07,0,16,
mult_op_p3,gemm,float,PASS,,2.86102e-06,2.14353e-07,0,1,
testing_impl,gemm,float,PASS,,9.53674e-07,4.75343e-07,0,513,
testing_unroll,gemm,float,PASS,,9.53674e-07,4.75343e-07,0,513,
vec_mtx_p1,gemm,float,PASS,,2.86102e-06,2.11569e-07,0,16,
vec_mtx_p2,gemm,float,PASS,,7.15256e-07,3.61227e-07,0,16,
attention_op_p1,llm,float,PASS,,1.52588e-05,2.25265e-07,0,2048,
attention_op_p2,llm,float,PASS,,7.05719e-05,4.36864e-06,0,512,
attention_op_p3,llm,float,PASS,,7.05719e-05,4.36864e-06,0,512,
gpt_transformer_p1,llm,float,FAIL,,785.377,0.674183,255,256,
llama_transformer_p2,llm,float,FAIL,,9681.18,0.863723,256,256,
tiled_attn_p1,llm,float,PASS,,1.52588e-05,2.25265e-07,0,2048,
tiled_attn_p2,llm,float,PASS,,3.8147e-05,5.27132e-07,0,512,
