design,domain,datatype,n_inputs,mode,trials_passed,max_abs_err,max_rel_err,n_mismatch,n_total,prepare_s,trial0_s,mean_trial_s,total_s,notes
activation__elu,conv,float,1,full,1,1.19209e-07,3.92648e-06,0,2048,0.02,10.465,0.0,10.465,
activation__gelu,conv,float,1,full,1,4.76837e-07,0.999994,0,2048,0.02,10.236,0.0,10.236,
activation__hardsigmoid,conv,float,1,full,1,0,0,0,2048,0.03,10.212,0.0,10.212,
activation__hardswish,conv,float,1,full,1,0,0,0,2048,0.02,8.822,0.0,8.822,
activation__leaky_relu,conv,float,1,full,1,0,0,0,2048,0.03,8.949,0.0,8.949,
activation__prelu,conv,float,1,full,1,0,0,0,2048,0.03,8.995,0.0,8.995,
activation__relu,conv,float,1,full,1,0,0,0,2048,0.03,9.099,0.0,9.099,
activation__relu6,conv,float,1,full,1,0,0,0,2048,0.03,8.991,0.0,8.991,
activation__rrelu,conv,float,1,full,1,0,0,0,2048,0.03,9.021,0.0,9.021,
activation__selu,conv,float,1,full,1,2.08616e-07,3.90839e-06,0,2048,0.03,9.149,0.0,9.149,
activation__sigmoid,conv,float,1,full,1,1.19209e-07,2.2312e-07,0,2048,0.03,9.406,0.0,9.406,
activation__softmax,conv,float,1,full,1,1.78814e-07,7.87931e-07,0,2048,0.03,9.344,0.0,9.344,
activation__swish,conv,float,1,full,1,4.76837e-07,2.34418e-07,0,2048,0.03,9.288,0.0,9.288,
activation__tanh,conv,float,1,full,1,1.19209e-07,1.89402e-07,0,2048,0.03,9.08,0.0,9.08,
activation__thresholded_relu,conv,float,1,full,1,0,0,0,2048,0.03,9.061,0.0,9.061,
adaptive_avgpool,conv,float,1,full,1,4.47035e-08,1.28219e-05,0,128,0.03,9.027,0.0,9.027,
batchnorm,conv,float,1,full,1,0,0,0,2048,0.03,9.014,0.0,9.014,
conv__dense_bias0,conv,float,1,full,1,2.47955e-05,0.00108863,0,12544,0.13,9.052,0.0,9.052,
conv__dense_bias1,conv,float,1,full,1,2.38419e-05,0.0086698,0,12544,0.11,9.028,0.0,9.028,
conv__grouped_bias0,conv,float,1,full,1,1.23978e-05,0.00100013,0,12544,0.11,9.048,0.0,9.048,
conv__grouped_bias1,conv,float,1,full,1,1.23978e-05,0.0133414,0,12544,0.11,9.009,0.0,9.009,
matrix_add,conv,float,1,full,1,0,0,0,2048,0.03,8.937,0.0,8.937,
maxpool,conv,float,1,full,1,0,0,0,512,0.03,9.052,0.0,9.052,
activation__elu,gemm,float,1,full,1,5.96046e-08,2.96826e-07,0,512,0.03,10.261,0.0,10.261,
activation__gelu,gemm,float,1,full,1,4.76837e-07,0.999994,0,512,0.03,10.306,0.0,10.306,
activation__leaky_relu,gemm,float,1,full,1,0,0,0,512,0.02,10.187,0.0,10.187,
activation__prelu,gemm,float,1,full,1,0,0,0,512,0.02,10.191,0.0,10.191,
activation__relu,gemm,float,1,full,1,0,0,0,512,0.02,10.209,0.0,10.209,
activation__relu6,gemm,float,1,full,1,0,0,0,512,0.02,10.34,0.0,10.34,
activation__rrelu,gemm,float,1,full,1,0,0,0,512,0.03,10.364,0.0,10.364,
activation__selu,gemm,float,1,full,1,1.19209e-07,3.37667e-07,0,512,0.02,10.266,0.0,10.266,
activation__sigmoid,gemm,float,1,full,1,1.19209e-07,2.2312e-07,0,512,0.03,10.321,0.0,10.321,
activation__softmax,gemm,float,1,full,1,8.9407e-08,3.23142e-07,0,512,0.02,10.453,0.0,10.453,
activation__swish,gemm,float,1,full,1,4.76837e-07,1.95032e-07,0,512,0.03,10.347,0.0,10.347,
activation__tanh,gemm,float,1,full,1,1.19209e-07,1.89402e-07,0,512,0.03,10.253,0.0,10.253,
activation__thresholded_relu,gemm,float,1,full,1,0,0,0,512,0.03,10.218,0.0,10.218,
dot_product__bias0,gemm,float,1,full,1,9.53674e-07,1.46271e-07,0,1,0.02,10.177,0.0,10.177,
dot_product__bias1,gemm,float,1,full,1,4.76837e-07,8.27488e-08,0,1,0.03,10.139,0.0,10.139,
gemm__bias0,gemm,float,1,full,1,1.19209e-06,5.58036e-05,0,512,0.03,10.339,0.0,10.339,
gemm__bias1,gemm,float,1,full,1,1.90735e-06,0.000188277,0,512,0.03,10.352,0.0,10.352,
mmv__bias0,gemm,float,1,full,1,1.90735e-06,4.32947e-06,0,16,0.02,10.164,0.0,10.164,
mmv__bias1,gemm,float,1,full,1,1.90735e-06,6.07792e-06,0,16,0.02,10.366,0.0,10.366,
vmm__bias0,gemm,float,1,full,1,4.76837e-07,6.52645e-07,0,16,0.02,10.218,0.0,10.218,
vmm__bias1,gemm,float,1,full,1,4.76837e-07,6.45671e-06,0,16,0.02,10.349,0.0,10.349,
activation__elu,llm,float,1,full,1,5.96046e-08,1.16835e-06,0,1024,0.03,9.022,0.0,9.022,
activation__gelu,llm,float,1,full,1,4.76837e-07,0.999994,0,1024,0.03,8.956,0.0,8.956,
activation__leaky_relu,llm,float,1,full,1,0,0,0,1024,0.03,8.963,0.0,8.963,
activation__prelu,llm,float,1,full,1,0,0,0,1024,0.03,8.99,0.0,8.99,
activation__relu,llm,float,1,full,1,0,0,0,1024,0.03,8.785,0.0,8.785,
activation__relu6,llm,float,1,full,1,0,0,0,1024,0.03,8.868,0.0,8.868,
activation__rrelu,llm,float,1,full,1,0,0,0,1024,0.03,8.78,0.0,8.78,
activation__selu,llm,float,1,full,1,1.19209e-07,1.16297e-06,0,1024,0.03,8.917,0.0,8.918,
activation__sigmoid,llm,float,1,full,1,1.19209e-07,2.2312e-07,0,1024,0.03,8.915,0.0,8.915,
activation__softmax,llm,float,1,full,1,2.98023e-08,8.79638e-07,0,1024,0.03,9.154,0.0,9.154,
