design,domain,datatype,n_inputs,mode,trials_passed,max_abs_err,max_rel_err,n_mismatch,n_total,prepare_s,trial0_s,mean_trial_s,total_s,notes
activation__elu,conv,float,1000,exe,1000,1.19209e-07,0.999983,0,2048,0.04,9.612,0.197,371.087,
activation__gelu,conv,float,1000,exe,1000,4.76837e-07,0.999994,0,2048,0.04,9.517,0.071,142.899,
activation__hardsigmoid,conv,float,1000,exe,1000,0,0,0,2048,0.03,9.908,0.021,89.962,
activation__hardswish,conv,float,1000,exe,1000,0,0,0,2048,0.03,9.054,0.02,89.2,
activation__leaky_relu,conv,float,1000,exe,1000,0,0,0,2048,0.04,9.635,0.027,96.941,
activation__prelu,conv,float,1000,exe,1000,0,0,0,2048,0.03,9.47,0.027,96.929,
activation__relu,conv,float,1000,exe,1000,0,0,0,2048,0.03,9.835,0.043,205.907,
activation__relu6,conv,float,1000,exe,1000,0,0,0,2048,0.03,9.386,0.043,204.117,
activation__rrelu,conv,float,1000,exe,1000,0,0,0,2048,0.03,9.466,0.042,206.6,
activation__selu,conv,float,1000,exe,1000,2.38419e-07,0.99999,0,2048,0.03,10.642,0.21,454.696,
activation__sigmoid,conv,float,1000,exe,1000,1.19209e-07,2.71805e-07,0,2048,0.03,9.664,0.318,539.917,
activation__softmax,conv,float,1000,exe,1000,4.76837e-07,1.05675e-06,0,2048,0.04,9.746,0.32,541.845,
activation__swish,conv,float,1000,exe,1000,9.53674e-07,3.35676e-07,0,2048,0.03,9.788,0.32,541.105,
activation__tanh,conv,float,1000,exe,1000,1.19209e-07,2.38416e-07,0,2048,0.03,9.497,0.094,323.185,
activation__thresholded_relu,conv,float,1000,exe,1000,0,0,0,2048,0.03,9.591,0.047,236.781,
adaptive_avgpool,conv,float,1000,exe,1000,1.19209e-07,0.00418994,0,128,0.03,9.481,0.095,351.926,
batchnorm,conv,float,1000,exe,1000,0,0,0,2048,0.03,9.412,0.105,384.811,
conv__dense_bias0,conv,float,1000,exe,1000,4.95911e-05,5.58695,0,12544,0.13,10.111,0.108,444.394,
conv__dense_bias1,conv,float,1000,exe,1000,4.95911e-05,1.43182,0,12544,0.11,9.082,0.113,457.473,
conv__grouped_bias0,conv,float,1000,exe,1000,2.67029e-05,4.24998,0,12544,0.12,9.302,0.101,451.755,
conv__grouped_bias1,conv,float,1000,exe,1000,2.28882e-05,208616,0,12544,0.13,9.136,0.098,449.768,
matrix_add,conv,float,1000,exe,1000,0,0,0,2048,0.03,9.117,0.063,313.924,
maxpool,conv,float,1000,exe,1000,0,0,0,512,0.03,9.294,0.056,308.978,
activation__elu,gemm,float,1000,exe,1000,1.19209e-07,0.0027248,0,512,0.04,10.581,0.089,149.095,
activation__gelu,gemm,float,1000,exe,1000,4.76837e-07,0.999994,0,512,0.03,10.001,0.059,107.158,
activation__leaky_relu,gemm,float,1000,exe,1000,0,0,0,512,0.03,10.545,0.014,63.181,
activation__prelu,gemm,float,1000,exe,1000,0,0,0,512,0.03,12.308,0.014,64.808,
activation__relu,gemm,float,1000,exe,1000,0,0,0,512,0.03,10.273,0.013,60.783,
activation__relu6,gemm,float,1000,exe,1000,0,0,0,512,0.03,10.163,0.013,60.287,
activation__rrelu,gemm,float,1000,exe,1000,0,0,0,512,0.03,10.316,0.014,61.936,
activation__selu,gemm,float,1000,exe,1000,2.38419e-07,0.00272473,0,512,0.03,11.977,0.093,154.322,
activation__sigmoid,gemm,float,1000,exe,1000,1.19209e-07,2.64257e-07,0,512,0.03,10.481,0.119,179.951,
activation__softmax,gemm,float,1000,exe,1000,2.98023e-07,5.96004e-07,0,512,0.03,10.275,0.123,184.577,
activation__swish,gemm,float,1000,exe,1000,9.53674e-07,3.35676e-07,0,512,0.03,10.451,0.123,185.852,
activation__tanh,gemm,float,1000,exe,1000,1.19209e-07,2.37797e-07,0,512,0.03,12.433,0.058,110.516,
activation__thresholded_relu,gemm,float,1000,exe,1000,0,0,0,512,0.03,10.799,0.014,62.921,
dot_product__bias0,gemm,float,1000,exe,1000,1.90735e-06,2.72949e-05,0,1,0.02,10.46,0.018,65.313,
dot_product__bias1,gemm,float,1000,exe,1000,1.90735e-06,5.81176e-05,0,1,0.03,10.097,0.018,64.526,
gemm__bias0,gemm,float,1000,exe,1000,2.86102e-06,0.0347778,0,512,0.03,10.234,0.017,65.824,
gemm__bias1,gemm,float,1000,exe,1000,3.8147e-06,0.0204918,0,512,0.06,10.176,0.026,88.614,
mmv__bias0,gemm,float,1000,exe,1000,2.86102e-06,0.00568182,0,16,0.04,11.272,0.028,94.313,
mmv__bias1,gemm,float,1000,exe,1000,3.8147e-06,0.000866164,0,16,0.04,9.304,0.026,86.717,
vmm__bias0,gemm,float,1000,exe,1000,9.53674e-07,0.000958379,0,16,0.03,9.281,0.028,92.506,
vmm__bias1,gemm,float,1000,exe,1000,9.53674e-07,0.00253593,0,16,0.03,9.554,0.029,92.913,
activation__elu,llm,float,1000,exe,1000,1.19209e-07,0.00440529,0,1024,0.03,9.573,0.145,355.23,
