design,domain,datatype,n_inputs,mode,trials_passed,max_abs_err,max_rel_err,n_mismatch,n_total,prepare_s,trial0_s,mean_trial_s,total_s,notes
activation__elu,conv,float,100,full,100,1.19209e-07,0.000137476,0,2048,0.04,10.17,9.41,943.52,
activation__gelu,conv,float,100,full,100,4.76837e-07,0.999994,0,2048,0.03,10.134,9.229,924.889,
activation__hardsigmoid,conv,float,100,full,100,0,0,0,2048,0.03,10.124,9.221,924.686,
activation__hardswish,conv,float,100,full,100,0,0,0,2048,0.03,10.063,9.237,925.474,
activation__leaky_relu,conv,float,100,full,100,0,0,0,2048,0.04,10.089,9.237,925.944,
activation__prelu,conv,float,100,full,100,0,0,0,2048,0.03,10.068,9.212,923.23,
activation__relu,conv,float,100,full,100,0,0,0,2048,0.03,10.044,9.228,924.664,
activation__relu6,conv,float,100,full,100,0,0,0,2048,0.03,10.231,9.256,928.764,
activation__rrelu,conv,float,100,full,100,0,0,0,2048,0.03,10.242,9.252,928.497,
activation__selu,conv,float,100,full,100,2.38419e-07,0.000137454,0,2048,0.03,10.33,9.358,938.8,
activation__sigmoid,conv,float,100,full,100,1.19209e-07,2.62154e-07,0,2048,0.03,10.466,9.479,950.28,
activation__softmax,conv,float,100,full,100,3.57628e-07,1.05675e-06,0,2048,0.03,10.386,9.463,948.421,
activation__swish,conv,float,100,full,100,9.53674e-07,3.28383e-07,0,2048,0.04,10.428,9.458,947.783,
activation__tanh,conv,float,100,full,100,1.19209e-07,2.38242e-07,0,2048,0.03,9.993,9.306,932.513,
activation__thresholded_relu,conv,float,100,full,100,0,0,0,2048,0.03,10.224,9.211,923.781,
adaptive_avgpool,conv,float,100,full,100,1.19209e-07,0.000335495,0,128,0.03,10.23,9.242,926.848,
batchnorm,conv,float,100,full,100,0,0,0,2048,0.03,10.258,9.275,930.28,
conv__dense_bias0,conv,float,100,full,100,3.62396e-05,5.58695,0,12544,0.14,10.074,9.249,935.985,
conv__dense_bias1,conv,float,100,full,100,3.8147e-05,0.0823864,0,12544,0.12,10.239,9.304,941.368,
