domain,operator,variants_passed,variants_total,n_inputs,elements,max_rel_err,passed
gemm,activation,13,13,1,512,0.9999982714653015,True
gemm,dot_product,2,2,1,1,1.4627110545006872e-07,True
gemm,gemm,2,2,1,512,0.0002733443398028612,True
gemm,mmv,2,2,1,16,8.737008101888932e-06,True
gemm,vmm,2,2,1,16,1.9047300156671554e-05,True
conv,activation,15,15,1,2048,0.9999982714653015,True
conv,adaptive_avgpool,1,1,1,128,0.00023168641200754791,True
conv,batchnorm,1,1,1,2048,0.0005369550781324506,True
conv,conv,4,4,1,12544,0.013870437629520893,True
conv,matrix_add,1,1,1,2048,0.00042802657117135823,True
conv,maxpool,1,1,1,512,6.554601714015007e-05,True
llm,activation,13,13,1,1024,0.9999982714653015,True
llm,dropout,1,1,1,256,0.00019296188838779926,True
llm,elementwise_mult,1,1,1,1024,0.008462618105113506,True
llm,layernorm,1,1,1,256,0.0002185163029935211,True
llm,matmul,1,1,1,1024,0.00010881014168262482,True
llm,matrix_add,1,1,1,256,5.573113958234899e-05,True
llm,mha,4,4,1,2048,0.008116690441966057,True
llm,rmsnorm,1,1,1,256,7.879311306169257e-05,True
llm,swa,2,2,1,256,9.303473780164495e-05,True
